nume_actiune,timestamp
ADAUGA_CLIENT,21-05-2026 17:05:00
ADAUGA_CLIENT,23-05-2026 14:50:02
ADAUGA_CLIENT,23-05-2026 14:51:03
DESCHIDE_CONT,23-05-2026 14:52:08
DESCHIDE_CONT,23-05-2026 14:52:24
DESCHIDE_CONT,23-05-2026 14:52:43
ADAUGA_CLIENT,23-05-2026 15:04:16
DESCHIDE_CONT,23-05-2026 15:04:31
DESCHIDE_CONT,23-05-2026 15:04:43
DOBANDA_APLICATA,23-05-2026 15:13:59
TAXA_APLICATA,23-05-2026 15:14:10
LOGIN_ESUAT,23-05-2026 15:14:36
LOGIN_ESUAT,23-05-2026 15:15:00
LOGIN_REUSIT,23-05-2026 15:15:08
DEPUNERE_BANI,23-05-2026 15:15:32
LOGIN_REUSIT,23-05-2026 15:34:04
LOGIN_REUSIT,23-05-2026 15:43:50
ADAUGA_CLIENT,09-06-2026 17:07:20
ADAUGA_CLIENT,09-06-2026 17:16:06
LOGIN_REUSIT,10-06-2026 10:46:48
EMITE_CARD,10-06-2026 10:51:38
DESCHIDE_CONT,10-06-2026 10:53:42
LOGIN_ESUAT,10-06-2026 10:55:07
LOGIN_ESUAT,10-06-2026 10:55:41
LOGIN_REUSIT,10-06-2026 11:02:02
DEPUNERE_BANI,10-06-2026 11:02:29
LOGIN_REUSIT,10-06-2026 11:04:43
DEPUNERE_BANI,10-06-2026 11:04:53
TRANSFER_BANCAR,10-06-2026 11:05:11
EMITE_CARD,10-06-2026 11:06:35
LOGIN_REUSIT,10-06-2026 11:06:48
EMITE_CARD,10-06-2026 11:21:01
CARD_BLOCAT,10-06-2026 11:21:24
CARD_DEBLOCAT,10-06-2026 11:21:35
CARD_BLOCAT,10-06-2026 11:21:47
LOGIN_REUSIT,10-06-2026 11:22:04
LOGIN_REUSIT,10-06-2026 11:29:31
LOGIN_REUSIT,10-06-2026 11:32:31
PLATA_CARD,10-06-2026 11:34:17
PLATA_CARD,10-06-2026 11:34:35
LOGIN_REUSIT,10-06-2026 11:41:06
DESCHIDE_CONT,10-06-2026 11:43:22
EMITE_CARD,10-06-2026 11:45:18
UPGRADE_ABONAMENT,10-06-2026 11:46:08
LOGIN_ESUAT,10-06-2026 11:46:27
LOGIN_REUSIT,10-06-2026 11:46:48
DEPUNERE_BANI,10-06-2026 11:47:34
LOGIN_REUSIT,10-06-2026 11:50:01
LOGIN_REUSIT,10-06-2026 12:04:43
DESCHIDE_CONT,10-06-2026 12:06:56
LOGIN_REUSIT,10-06-2026 12:07:16
TRANSFER_BANCAR,10-06-2026 12:07:33
LOGIN_REUSIT,10-06-2026 12:08:17
PLATA_CARD,10-06-2026 12:21:25
PLATA_CARD,10-06-2026 12:22:00
PLATA_CARD,10-06-2026 12:22:29
REVENDICA_REWARD,10-06-2026 12:22:39
LOGIN_REUSIT,10-06-2026 12:24:38
LOGIN_REUSIT,10-06-2026 12:29:15
LOGIN_REUSIT,10-06-2026 12:40:53
LOGIN_REUSIT,10-06-2026 12:41:26
LOGIN_REUSIT,10-06-2026 12:42:38
TRANSFER_BANCAR,10-06-2026 12:43:20
